,total,class,coordinate,angle
efficient7200test,0.17250728292597664,0.032810617983341214,0.06578482240438462,0.3366937337650193
efficient14400test,0.16810608646935887,0.03613999548057715,0.06309604931415783,0.3310435290137927
efficient28800test,0.17211587025473515,0.030566246184106503,0.067429399329962,0.3317261343614923
mobile7200test,0.17291671716504628,0.03281786733617385,0.06830673180520534,0.33684837917486826
mobile14400test,0.1840756339331468,0.044416092656966714,0.08441482805129555,0.3386186190777355
mobile28800test,0.17706998508009647,0.04159754622313711,0.07472368550176421,0.33887096212969886
shuffle1200wpttest,0.1789571483929952,0.08703967680533727,0.06541543900966644,0.33948903481165565
shuffle3600wpttest,0.17035049365626442,0.04061693971355756,0.06129819287194146,0.3348598354392581
shuffle7200test,0.17543289677964316,0.039904305131898986,0.0730504233804014,0.3372931314839257
shuffle7200wpttest,0.16696817676226297,0.017247928223676153,0.06072964304023319,0.3359544691112306
shuffle14400test,0.17916151359677315,0.05520866766778959,0.0769761294954353,0.3378814493616422
shuffle14400wpttest,0.16324393782350752,0.012745653175645404,0.05966734366698397,0.3303271535370085
shuffle28800test,0.22244193309711086,0.11061905549011297,0.11652955487370491,0.3630623375376066
shuffle28800wpttest,0.16065094077752695,0.005618392755018754,0.05737076954295238,0.32850928347971703
